MESAPlotXvM.py
$X_{\rm core} = $0.1
M/Msun,Zeta
EOH
0.16218,0.89829
0.16982,0.91568
0.17783,0.98061
0.18621,0.95310
0.19498,1.01108
0.20417,0.93178
0.21380,0.88952
0.22387,0.91402
0.23442,0.83448
0.24547,0.94323
0.25704,0.87450
0.26915,0.93908
0.28184,0.81273
0.29512,0.87822
0.30903,0.92606
0.32359,0.80382
0.33884,0.81616
0.35481,0.99311
0.37154,0.57141
0.38905,1.00094
0.40738,1.14631
0.42658,1.10416
0.44668,1.09142
0.46774,1.35148
0.48978,1.04556
0.51286,1.26711
0.53703,0.77933
0.56234,0.99031
0.58884,0.71824
0.61659,0.87652
0.64565,0.64565
0.67608,0.89515
0.70795,0.78415
0.74131,0.99104
0.77625,0.89970
0.81283,0.86299
0.85114,0.97755
0.89125,1.10862
0.93325,0.97924
0.97724,1.07599
1.02329,1.09500
1.07152,1.05222
1.12202,2.43123
1.17490,1.80359
1.23027,1.43811
1.28825,1.66522
1.34896,1.63402
1.41254,1.66639
1.47911,1.43392
1.54882,1.59015
1.62181,1.45465
1.69824,1.17930
1.77828,1.09610
1.86209,0.61035
1.94984,0.91035
2.04174,0.71249
2.13796,0.69069
2.23872,0.84950
2.34423,0.67974
2.45471,0.57665
2.57040,0.86858
2.69153,0.64761
2.81838,0.50589
2.95121,0.58918
3.09030,0.60316
3.23594,0.59436
3.38844,0.57247
3.54813,0.57820
3.71535,0.58920
3.89045,0.56220
4.07380,0.53149
4.26580,0.66491
4.46684,0.62743
4.67735,0.43295
4.89779,0.55229
5.12861,0.67750
5.37032,0.34926
5.62341,0.57560
5.88844,0.63167
6.16595,0.54371
6.45654,0.54890
6.76083,0.67750
7.07946,0.50823
7.41310,0.66085
7.76247,0.70104
8.12831,0.52862
8.51138,0.72195
8.91251,0.55559
9.33254,0.56236
9.77237,0.82383
10.23293,0.43546
10.71519,0.74692
11.22018,0.69512
11.74898,0.69869
12.30269,0.74070
12.88250,0.79033
13.48963,0.67203
14.12538,0.91527
