MESAPlotXvM.py
$X_{\rm core} = $0.6
M/Msun,Zeta
EOH
0.16218,0.74545
0.16982,0.74509
0.17783,0.72870
0.18621,0.73579
0.19498,0.71548
0.20417,0.72639
0.21380,0.72545
0.22387,0.71180
0.23442,0.71810
0.24547,0.70172
0.25704,0.71235
0.26915,0.70783
0.28184,0.70178
0.29512,0.69878
0.30903,0.69823
0.32359,0.69845
0.33884,0.77251
0.35481,0.66915
0.37154,0.70305
0.38905,0.73846
0.40738,0.82717
0.42658,0.90257
0.44668,0.92613
0.46774,0.96473
0.48978,1.06999
0.51286,1.08402
0.53703,1.18041
0.56234,1.21081
0.58884,1.20920
0.61659,1.23851
0.64565,0.90757
0.67608,0.86816
0.70795,0.74508
0.74131,0.72309
0.77625,0.76519
0.81283,0.84218
0.85114,0.89730
0.89125,0.95244
0.93325,1.08165
0.97724,1.18085
1.02329,1.32062
1.07152,1.37965
1.12202,1.52826
1.17490,1.43464
1.23027,1.41235
1.28825,1.40407
1.34896,1.14375
1.41254,0.98101
1.47911,0.62980
1.54882,0.45462
1.62181,0.55518
1.69824,0.40812
1.77828,0.57566
1.86209,0.59238
1.94984,0.48131
2.04174,0.53502
2.13796,0.72506
2.23872,0.47672
2.34423,0.52220
2.45471,0.66257
2.57040,0.53478
2.69153,0.54620
2.81838,0.68800
2.95121,0.53077
3.09030,0.55078
3.23594,0.54637
3.38844,0.54559
3.54813,0.55495
3.71535,0.55879
3.89045,0.56182
4.07380,0.52990
4.26580,0.66134
4.46684,0.64035
4.67735,0.43587
4.89779,0.56072
5.12861,0.72583
5.37032,0.33151
5.62341,0.60065
5.88844,0.61842
6.16595,0.53261
6.45654,0.54695
6.76083,0.64479
7.07946,0.51979
7.41310,0.60931
7.76247,0.65873
8.12831,0.48230
8.51138,0.65105
8.91251,0.49161
9.33254,0.50077
9.77237,0.46910
10.23293,0.60183
10.71519,0.64832
11.22018,0.58211
11.74898,0.56418
12.30269,0.59044
12.88250,0.64003
13.48963,0.51168
14.12538,0.44773
