MESAPlotXvM.py
$X_{\rm core} = $0.697
M/Msun,Zeta
EOH
0.16218,0.79707
0.16982,0.80312
0.17783,0.80034
0.18621,0.75670
0.19498,0.79625
0.20417,0.81379
0.21380,0.73400
0.22387,0.84003
0.23442,0.80273
0.24547,0.71157
0.25704,0.79805
0.26915,0.79164
0.28184,0.87728
0.29512,0.70590
0.30903,0.78660
0.32359,0.78229
0.33884,0.77387
0.35481,0.82036
0.37154,0.55135
0.38905,0.71164
0.40738,0.82597
0.42658,0.89252
0.44668,0.90735
0.46774,1.01029
0.48978,1.02471
0.51286,1.11589
0.53703,1.17639
0.56234,1.21344
0.58884,1.25312
0.61659,1.23187
0.64565,1.05563
0.67608,0.86566
0.70795,0.76109
0.74131,0.76470
0.77625,0.76194
0.81283,0.79914
0.85114,0.88045
0.89125,0.93974
0.93325,1.03177
0.97724,1.14135
1.02329,1.27302
1.07152,1.39658
1.12202,1.44307
1.17490,1.47265
1.23027,1.43442
1.28825,1.33771
1.34896,1.16351
1.41254,0.94432
1.47911,0.51671
1.54882,0.28077
1.62181,0.33818
1.69824,0.31228
1.77828,0.39536
1.86209,0.41193
1.94984,0.42943
2.04174,0.46181
2.13796,0.48280
2.23872,0.49810
2.34423,0.50629
2.45471,0.50427
2.57040,0.52291
2.69153,0.52829
2.81838,0.53488
2.95121,0.53572
3.09030,0.54029
3.23594,0.54226
3.38844,0.54526
3.54813,0.54683
3.71535,0.54910
3.89045,0.55049
4.07380,0.55298
4.26580,0.55521
4.46684,0.55202
4.67735,0.55735
4.89779,0.55679
5.12861,0.55680
5.37032,0.55886
5.62341,0.56350
5.88844,0.55764
6.16595,0.55409
6.45654,0.56955
6.76083,0.55779
7.07946,0.56388
7.41310,0.55038
7.76247,0.56045
8.12831,0.55969
8.51138,0.56043
8.91251,0.55754
9.33254,0.57022
9.77237,0.54937
10.23293,0.55820
10.71519,0.56192
11.22018,0.56633
11.74898,0.55763
12.30269,0.55635
12.88250,0.53879
13.48963,0.55154
14.12538,0.56337
