MESAPlotXvM.py
$X_{\rm core} = $0.001
M/Msun,Zeta
EOH
0.16218,1.42738
0.16982,1.60707
0.17783,1.15489
0.18621,1.55351
0.19498,1.21717
0.20417,1.22350
0.21380,1.42042
0.22387,1.25924
0.23442,1.09352
0.24547,1.23117
0.25704,1.00302
0.26915,1.12880
0.28184,0.98874
0.29512,0.90985
0.30903,0.95806
0.32359,0.85375
0.33884,0.82513
0.35481,0.82982
0.37154,0.73496
0.38905,0.85900
0.40738,0.77581
0.42658,0.73192
0.44668,0.70034
0.46774,0.64012
0.48978,0.64447
0.51286,0.58383
0.53703,0.56838
0.56234,0.57562
0.58884,0.57536
0.61659,0.62981
0.64565,0.63793
0.67608,0.65630
0.70795,0.68122
0.74131,0.74782
0.77625,0.74845
0.81283,0.83563
0.85114,0.81503
0.89125,0.89565
0.93325,0.96622
0.97724,0.94532
1.02329,0.99511
1.07152,0.98654
1.12202,2.28321
1.17490,1.87776
1.23027,1.41735
1.28825,1.53663
1.34896,1.46846
1.41254,1.35958
1.47911,1.09430
1.54882,0.91948
1.62181,0.82416
1.69824,0.74589
1.77828,0.83163
1.86209,0.65858
1.94984,0.78029
2.04174,0.67596
2.13796,0.67852
2.23872,0.72027
2.34423,0.70160
2.45471,0.63164
2.57040,0.67145
2.69153,0.63891
2.81838,0.64246
2.95121,0.61301
3.09030,0.60558
3.23594,0.56192
3.38844,0.57918
3.54813,0.58188
3.71535,0.59232
3.89045,0.56836
4.07380,0.54125
4.26580,0.55095
4.46684,0.60235
4.67735,0.52256
4.89779,0.56806
5.12861,0.55511
5.37032,0.56739
5.62341,0.56447
5.88844,0.55856
6.16595,0.61764
6.45654,0.59477
6.76083,0.56838
7.07946,0.60946
7.41310,0.63054
7.76247,0.60506
8.12831,0.65276
8.51138,0.64315
8.91251,0.68162
9.33254,0.67749
9.77237,0.64370
10.23293,0.68878
10.71519,0.72856
11.22018,0.75989
11.74898,0.74709
12.30269,0.75347
12.88250,0.71110
13.48963,0.81485
14.12538,0.72129
